Campaign,Campaign type,Campaign daily budget,Networks,Language,Bid strategy type,Campaign status,Ad group,Ad group status,Max CPC,Keyword,Match type,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Final URL suffix
NCARB Search OBD 75,Search,15.00,Google Search,en,Manual CPC,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,Enabled,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,carb obd test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,obd clean truck check,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,clean truck check obd test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,carb obd testing near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,heavy duty obd test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,mobile clean truck check,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,carb obd test,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,obd clean truck check,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,mobile obd test truck,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,clean truck check near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,4.00,diesel obd test california,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OBD 75,,,,,,,OBD Test,,,,,Enabled,CARB OBD Test – $75,Mobile OBD Testing,Clean Truck Check OBD,We Come To Your Truck,Book A Mobile OBD Test,Same-Week OBD Testing,OBD Testing At Your Yard,Sacramento OBD Testing,Bay Area OBD Testing,Stockton OBD Testing,CARB Submission Included,Call 916-890-4427,Credentialed Mobile Tester,Private Mobile Test Service,5-Star Rated Mobile Testing,Mobile Clean Truck Check OBD testing for $75 per vehicle. We come to your yard.,"Fast scheduling across Sacramento, Stockton and the Bay Area. Call or request a callback.",Credentialed private testing service. Test completed on-site and submitted to CARB.,Not sure whether you need OBD or OVI? Call with the vehicle year and engine details.,obd-test,mobile,https://norcalcarbmobile.com/carb-obd-test,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content={creative}
NCARB Search OVI 199,Search,20.00,Google Search,en,Manual CPC,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,Enabled,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,carb ovi test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,ovi smoke test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,smoke opacity test near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,j1667 opacity test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,clean truck check ovi,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,mobile ovi test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,carb ovi test,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,mobile smoke opacity test,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,diesel smoke test near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,carb opacity test,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
