Batch,Lead_ID,Company_Name,USDOT,CA_Number,Violation,Priority,Last_CARB_Check,Address,City,State,Zip,Phone,Email,Website,Lat,Lng,Distance_mi,Status,Last_Contact,Notes,SAFER_URL,Google_Search,,email_original,email_fit,email_fit_reason,emails_from_website,email_best_guess,safer_legal_name,safer_phone,safer_address,safer_url,phone_best,action
2,14,"Superior Cattle Feeders, LLC",1248591,216358,TB,1,2025-01-31,6050 California 111,Calipatria,CA,92233,,rcosta@headstartnursery.com,headstartnursery.com,33.093041,-115.512307,500.5,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1248591,https://www.google.com/search?q=Superior+Cattle+Feeders+LLC+trucking+California+address+phone,,rcosta@headstartnursery.com,NO_DO_NOT_USE,website_and_email_unrelated_to_company,info@headstartnursery.com,info@headstartnursery.com,,,": 551 S INDUSTRIAL AVE CALIPATRIA, CA 92233 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1248591,,DROP_FAKE_EMAIL+EMAIL_CAREFUL
1,7,"Sundance Stage Lines, Inc",184090,,TB,1,2025-01-08,3762 Main Street,San Diego,CA,92113,619-525-1570,sales@apexfenceok.com,apexfenceok.com,32.684498,-117.1125501,458,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=184090,https://www.google.com/search?q=Sundance+Stage+Lines+Inc+trucking+California+address+phone,,sales@apexfenceok.com,NO_DO_NOT_USE,website_and_email_unrelated_to_company,,,,,": 3762 MAIN ST SAN DIEGO, CA 92113 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=184090,619-525-1570,DROP_FAKE_EMAIL+CALL
10,93,Premier Color Nursery,520621,559803,TB,1,2025-01-07,1244 Winter Haven Road,Fallbrook,CA,92028,,,,33.3506507,-117.2318649,418.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=520621,https://www.google.com/search?q=Premier+Color+Nursery+trucking+California+address+phone,,,NO_DO_NOT_USE,missing,,,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=520621,,GOOGLE_GBP_OR_SKIP
1,2,INQUIPCO,347085,,TB,1,2025-01-29,2730 North Nellis Boulevard,Las Vegas,CA,89115,(949) 818-9167,jerry@inquipco.com,inquipco.com,36.2093295,-115.0619148,412.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=347085,https://www.google.com/search?q=INQUIPCO+trucking+California+address+phone,,jerry@inquipco.com,YES,matches_website,,jerry@inquipco.com,,,": 2730 N NELLIS BLVD LAS VEGAS, NV 89115 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=347085,(949) 818-9167,CALL
4,32,Dart International,1780,164701,TB,1,2025-01-24,1990 Pomona Road,Corona,CA,92878,,dave@elderenterprises.com,elderenterprises.com,33.8817455,-117.606493,376.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1780,https://www.google.com/search?q=Dart+International+trucking+California+address+phone,,dave@elderenterprises.com,NO_DO_NOT_USE,website_and_email_unrelated_to_company,%20dave@elderenterprises.com,%20dave@elderenterprises.com,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1780,,DROP_FAKE_EMAIL+EMAIL_CAREFUL
7,61,Hay Connection,864392,188522,TB,1,2025-01-02,1152 Sixth Street,Norco,CA,92860,,,,33.9379102,-117.5465595,375.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=864392,https://www.google.com/search?q=Hay+Connection+trucking+California+address+phone,,,NO_DO_NOT_USE,missing,,,,,": 43625 COUNTY ROAD 17 WOODLAND, CA 95776 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=864392,,GOOGLE_GBP_OR_SKIP
6,55,"Roadrunner Transportation Services, Inc",7116,242009,TB,1,2025-01-07,11385 Venture Drive,Jurupa Valley,CA,91752,,,,34.0306728,-117.5321567,371.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=7116,https://www.google.com/search?q=Roadrunner+Transportation+Services+Inc+trucking+California+address+phone,,,NO_DO_NOT_USE,missing,,,,,": 8 LANE RIDGE RD CLAREMONT, NH 03743 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=7116,,GOOGLE_GBP_OR_SKIP
3,28,Material Transport Services,2815,1745562,TB,1,2025-01-16,15505 East Lincoln Avenue,Orange,CA,92865,,callen@alanritchey.com,alanritchey.com,33.8353699,-117.8613179,369,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2815,https://www.google.com/search?q=Material+Transport+Services+trucking+California+address+phone,,callen@alanritchey.com,NO_DO_NOT_USE,website_and_email_unrelated_to_company,,,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2815,,DROP_FAKE_EMAIL+GOOGLE_GBP_OR_SKIP
2,12,Rockview Farms,48850,776013,TB,1,2025-01-16,2350 West Whittier Boulevard,La Habra,CA,90631,,kam@kamjohal.com,kamjohal.com,33.9395216,-117.9725783,359.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=48850,https://www.google.com/search?q=Rockview+Farms+trucking+California+address+phone,,kam@kamjohal.com,NO_DO_NOT_USE,website_and_email_unrelated_to_company,,,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=48850,,DROP_FAKE_EMAIL+GOOGLE_GBP_OR_SKIP
4,33,SterlingPacific Meat Company,214000,559423,TB,1,2025-01-02,6114 Scott Way,Commerce,CA,90040,,jeffa@arnoldbros.com,arnoldbros.com,33.979322,-118.149622,350.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=214000,https://www.google.com/search?q=SterlingPacific+Meat+Company+trucking+California+address+phone,,jeffa@arnoldbros.com,NO_DO_NOT_USE,website_and_email_unrelated_to_company,recruiting@arnoldbros.com,recruiting@arnoldbros.com,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=214000,,DROP_FAKE_EMAIL+EMAIL_CAREFUL
