Name,USDOT,Priority,Complies,TRUCRS_ID,CA_Number,safer_legal_name,safer_phone,safer_address,safer_url,action,note
Southwest Construction Company Inc.,59770.0,1.0,TB,1720,2584464,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=59770,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
INQUIPCO,347085.0,1.0,TB,2025,,,,": 2730 N NELLIS BLVD LAS VEGAS, NV 89115 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=347085,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
Lassen Forest Products Inc.,29914.0,1.0,TB,3051,472923,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=29914,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
WENDT CONSTRUCTION CO INC,50465.0,1.0,TB,3292,1657120,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=50465,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
"Mendocino Forest Products Company, LLC",599472.0,1.0,TB,3592,763868,,,": 28 BISMARK STREET MANCHESTER, NH 03102 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=599472,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
Yandell Truckaway Inc.,18445.0,1.0,TB,8244,30503,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=18445,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
"Sundance Stage Lines, Inc",184090.0,1.0,TB,9789,,,,": 3762 MAIN ST SAN DIEGO, CA 92113 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=184090,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
"Steve Wills Trucking & Logging, LLC.",256813.0,1.0,TB,9795,1444560,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=256813,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
"Apex Fence Co., Inc.",51968.0,1.0,TB,9801,549939,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=51968,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
Timberland Logging,199331.0,1.0,TB,9821,253030,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=199331,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
"Siskiyou Transportation, Inc.",39920.0,1.0,TB,9822,17189,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=39920,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
Rockview Farms,48850.0,1.0,TB,9840,776013,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=48850,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
Crane Mills Truck Shop,40859.0,1.0,TB,9845,716497,,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=40859,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
"Superior Cattle Feeders, LLC",1248591.0,1.0,TB,9878,216358,,,": 551 S INDUSTRIAL AVE CALIPATRIA, CA 92233 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1248591,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
"Redwood Empire Vineyard Management, Inc.",1181138.0,1.0,TB,9936,54112,,,": 22000 GEYSERVILLE AVENUE GEYSERVILLE, CA 95441 <A class=""querylabel"" href=""saferhelp.aspx#",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1181138,NO_PHONE_ON_SAFER,Public emails rare for fleets — phone first
