TRUCRS ID,Name,Carrier Number,Carrier Type,Complies,Date Certificate Printed,ZEV Fleet,Email,URL,Address,Phone,Date Parsed,Year,Month,Year-Month
150991,Corona Trucking,3304804,USDOT Number,TB,2025-05-31 12:53:45,N,,,,,2025-05-151 12:53:00,2025,5,2025-05
233817,nazira corp,3332006,USDOT Number,TB,2025-05-31 11:21:47,N,,,,,2025-05-151 11:21:00,2025,5,2025-05
233817,KANG BROS LLC,1061982,Other,TB,2025-05-31 11:21:47,N,,,,,2025-05-151 11:21:00,2025,5,2025-05
90611,Progresso Transport LLC,2423162,USDOT Number,ACF/TB,2025-05-31 10:50:51,N,,,,,2025-05-151 10:50:00,2025,5,2025-05
90611,Dillan,443246,CA Number,ACF/TB,2025-05-31 10:50:51,N,,,,,2025-05-151 10:50:00,2025,5,2025-05
266411,NANDI TRUCK LINES INC,3992499,USDOT Number,TB,2025-05-31 10:47:00,N,,,,,2025-05-151 10:47:00,2025,5,2025-05
266409,NAVDEEP TRANSPORT INC,,CA Number,TB,2025-05-31 9:50:51,N,,,,,2025-05-151 09:50:00,2025,5,2025-05
187073,JPD TRANSPORT INC,3845900,USDOT Number,TB,2025-05-31 9:47:20,N,,,,,2025-05-151 09:47:00,2025,5,2025-05
266410,Zz Egypt llc,4321493,USDOT Number,TB,2025-05-31 9:32:05,N,,,,,2025-05-151 09:32:00,2025,5,2025-05
266408,TR XPRESS LLC,3480175,USDOT Number,TB,2025-05-31 8:51:00,N,,,,,2025-05-151 08:51:00,2025,5,2025-05
197983,Roger Jantz Trucking Inc.,2790792,USDOT Number,TB,2025-05-31 8:43:23,N,,,,,2025-05-151 08:43:00,2025,5,2025-05
185976,Uunlaaye transport LLC,3767083,USDOT Number,TB,2025-05-31 8:21:54,N,,,,,2025-05-151 08:21:00,2025,5,2025-05
55749,AMERICAN TRANS LINK LLC,392813,CA Number,TB,2025-05-31 5:04:52,N,,,,,2025-05-151 05:04:00,2025,5,2025-05
230051,Minneasotacargollc,3451243,USDOT Number,TB,2025-05-31 4:13:36,N,,,,,2025-05-151 04:13:00,2025,5,2025-05
198283,ANY LOGISTICS INC,3379402,USDOT Number,TB,2025-05-31 3:53:30,N,,,,,2025-05-151 03:53:00,2025,5,2025-05
218594,Ahluwalia Express inc,3492138,CA Number,TB,2025-05-31 3:48:36,N,,,,,2025-05-151 03:48:00,2025,5,2025-05
266415,Jaffe Trucking LLC,655717,CA Number,TB,2025-05-31 3:27:33,N,,,,,2025-05-151 03:27:00,2025,5,2025-05
266418,JET SPEED TRANS INC,3440822,USDOT Number,TB,2025-05-31 3:25:10,N,,,,,2025-05-151 03:25:00,2025,5,2025-05
266416,CHANDI BROTHERS INC,3692516,USDOT Number,TB,2025-05-31 3:22:44,N,,,,,2025-05-151 03:22:00,2025,5,2025-05
266412,LOGER LLC,647763,CA Number,TB,2025-05-31 2:15:59,N,,,,,2025-05-151 02:15:00,2025,5,2025-05
266414,DON ROMIS TRANSPORTATION LLC,3449570,USDOT Number,TB,2025-05-31 2:12:22,N,,,,,2025-05-151 02:12:00,2025,5,2025-05
57810,4 GEN LOGISTICS LLC,633732,CA Number,TB,2025-05-31 1:34:43,N,,,,,2025-05-151 01:34:00,2025,5,2025-05
252323,guardado express line LLC,627026,CA Number,TB,2025-05-30 12:58:20,N,,,,,2025-05-150 12:58:00,2025,5,2025-05
