company,legal_name,dba_name,email,phone,city,state,zip,address,usdot,power_units,truck_units,metro,nearest_hub,mi_nearest,mi_sac,mi_oak,lat,lng,carrier_operation,classdef,safer_url,source
STAN ALLES TRANSPORT,STAN ALLES,STAN ALLES TRANSPORT,stanley@stanallestransport.com,5598429424,FRESNO,CA,93723,4601 N JAMESON AVE,2662,14,14,Bay,Oakland,145.1,149.4,145.1,36.79348,-119.95682,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2662,fmcsa_census_az4n-8mr2
BUD ANTLE INC,BUD ANTLE INC,,carlos.meza@dole.com,8317545288,MONTEREY,CA,93940,2959 MONTEREY SALINAS HWY,2934,86,59,Bay,Oakland,88.2,140.0,88.2,36.57469,-121.84085,A,"PRIVATE PROPERTY;PRIVATE PASSENGER, BUSINESS",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2934,fmcsa_census_az4n-8mr2
TREVIS BERRY TRANSPORTATION,TREVIS BERRY TRANSPORTATION,,info@trevisberry.com,4088428238,GILROY,CA,95020,655 E LUCHESSA AVE,2955,49,49,San Jose,Oakland,67.1,108.1,67.1,37.01842,-121.55425,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2955,fmcsa_census_az4n-8mr2
CROWN WORLDWIDE MOVING AND STORAGE LLC,CROWN WORLDWIDE MOVING AND STORAGE LLC,,chris.stathis@goarmstrong.com,5106144105,UNION CITY,CA,94587,32001 DOWE AVE,2970,25,25,Bay,Oakland,19.6,73.4,19.6,37.60316,-122.01864,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2970,fmcsa_census_az4n-8mr2
COLONIAL VAN & STORAGE INC,COLONIAL VAN & STORAGE INC,,dawn@colonialvan.com,9163811372,SACRAMENTO,CA,95828,6001 88TH ST,2973,31,31,Sacramento,Sacramento,8.3,8.3,67.1,38.48881,-121.39584,A,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2973,fmcsa_census_az4n-8mr2
BRIARWOOD FARMS & RAINBOW FARMS,VALLEY FRESH FOODS INC,BRIARWOOD FARMS & RAINBOW FARMS,rbettencourt@vffi.com,2094852605,TURLOCK,CA,95380,3600 E LINWOOD AVE,21862,10,10,Stockton,Oakland,79.7,83.6,79.7,37.4744,-120.87592,C,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=21862,fmcsa_census_az4n-8mr2
TERESI TRUCKING LLC,TERESI TRUCKING LLC,,atteresi@teresitrucking.com,2093682472,LODI,CA,95240,900 ONE HALF EAST VICTOR RD,30477,28,28,Stockton,Sacramento,37.4,37.4,65.0,38.11439,-121.14466,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=30477,fmcsa_census_az4n-8mr2
YANDELL TRUCKAWAY INC,YANDELL TRUCKAWAY INC,,jrodrigues@yandelltruckaway.com,9259889800,BENICIA,CA,94510,360 INDUSTRIAL COURT STE A,30503,55,55,Bay,Oakland,21.6,48.2,21.6,38.09807,-122.13594,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=30503,fmcsa_census_az4n-8mr2
WALLACE CASCADE TRANSPORT INC,WALLACE CASCADE TRANSPORT INC,,susan@wallacetransport.com,2093820131,PLANADA,CA,95365,9290 E HWY 140,30520,2,2,Sacramento,Sacramento,108.3,108.3,113.1,37.33111,-120.29482,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=30520,fmcsa_census_az4n-8mr2
TEICHERT AGGREGATES TEICHERT READMIX TEICHERT CONSTRUCTION,A TEICHERT & SON INC,TEICHERT AGGREGATES TEICHERT READMIX TEICHERT CONSTRUCTION,agomez@teichert.com,2099836624,SACRAMENTO,CA,95864,3500 AMERICAN RIVER DRIVE,41280,562,562,Sacramento,Sacramento,6.4,6.4,72.6,38.58405,-121.37585,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=41280,fmcsa_census_az4n-8mr2
SCARR MOVING & STORAGE INC,SCARR MOVING & STORAGE INC,,maryscarr@comcast.net,8314242784,SALINAS,CA,93901,1353 DAYTON ST,44159,9,9,Bay,Oakland,88.2,134.6,88.2,36.63634,-121.62398,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=44159,fmcsa_census_az4n-8mr2
ARROW TRUCKING CO OF CALIFORNIA INC,ARROW TRUCKING CO OF CALIFORNIA INC,,rich@arrowtrucking.net,5104294820,UNION CITY,CA,94587,30078 EIGENBRODT WAY,45159,2,2,Bay,Oakland,19.6,73.4,19.6,37.60316,-122.01864,C,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=45159,fmcsa_census_az4n-8mr2
