company,email,phone,city,metro,usdot,power_units,mi_nearest,nearest_hub,safer_url
DAVEY TREE,tim.cheever@davey.com,9254431723,LIVERMORE,Bay,785221,1577,42.8,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=785221
GRANITE,wendy.warner@gcinc.com,8317241011,WATSONVILLE,Bay,216892,939,65.7,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=216892
D'ARRIGO BROS CO OF CA,neil.benson@darrigo.com,8314554500,SALINAS,Bay,158686,574,87.8,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=158686
TEICHERT AGGREGATES TEICHERT READMIX TEICHERT CONSTRUCTION,agomez@teichert.com,2099836624,SACRAMENTO,Sacramento,41280,562,6.4,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=41280
KAG WEST,kag.safety@thekag.com,,WEST SACRAMENTO,Sacramento,134406,513,6.2,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=134406
CALIFORNIA FREIGHT SALES,compliance@calfreight.com,2095995000,RIPON,Sacramento,493750,486,60.0,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=493750
ROADSIDE ASSISTANCE,jason.gyori@mwg.aaa.com,9167423260,WALNUT CREEK,Bay,825302,449,13.4,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=825302
GRANITE ROCK COMPANY,dleffel@graniterock.com,8317682000,WATSONVILLE,Bay,714188,351,65.7,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=714188
WILLIAMS TANK LINES,claims@williamstankline.com,2099445613,STOCKTON,Stockton,229047,336,46.0,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=229047
ARBORWORKS LLC,wsmith@arborworksinc.com,5596412434,OAKHURST,Sacramento,1707831,315,131.2,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1707831
CHRISP COMPANY,kawana@chrispco.com,5109333951,FREMONT,Bay,834064,314,27.9,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=834064
UNDERGROUND CONSTRUCTION,jdeleon@undergroundconstruction.com,7077468800,BENICIA,Bay,516591,301,21.6,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=516591
TAYLOR FARMING LLC,lsilva@taylorfarms.com,8313873770,SALINAS,Bay,1823533,296,88.2,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1823533
SIERRA PACIFIC WINDOWS,truckclerks@spi-ind.com,5307376205,RED BLUFF,Sacramento,518110,285,120.2,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=518110
MOUNTAIN VALLEY EXPRESS LLC,alfonso.montesinos@mveltl.com,8773256447,MANTECA,Stockton,172279,277,56.6,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=172279
TIGER LINES LLC,jvanotti@tigerlines.com,,LODI,Stockton,80289,265,37.4,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=80289
PACIFIC SUPPLY ANDERSON LUMBER HAWAII SUPPLY DIAMOND PACIFIC PIONEER BUILDERS SUPPLY CO,salt.team@paccoast.com,9166316543,NORTH HIGHLANDS,Sacramento,1112364,251,9.1,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1112364
MONARCH TRUCK CENTER,plopez@monarchtruck.com,4082750500,SAN JOSE,San Jose,1476463,244,37.4,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1476463
CHEROKEE FREIGHT LINES STOCKTON LLC,lscannavino@gocfl.com,2094447323,STOCKTON,Stockton,154922,238,44.5,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=154922
FRANK C ALEGRE TRUCKING INC,derrick@alegretrucking.com,2093342112,LODI,Stockton,296231,238,31.3,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=296231
