Batch,Lead_ID,Company_Name,USDOT,CA_Number,Violation,Priority,Last_CARB_Check,Address,City,State,Zip,Phone,Email,Website,Lat,Lng,Distance_mi,Status,Last_Contact,Notes,SAFER_URL,Google_Search,
1,1,Southwest Construction Company Inc.,59770,2584464,TB,1,2025-01-08,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=59770,https://www.google.com/search?q=Southwest+Construction+Company+Inc.+trucking+California+address+phone,Southwest Construction Company Inc.
1,2,INQUIPCO,347085,,TB,1,2025-01-29,2730 North Nellis Boulevard,Las Vegas,CA,89115,(949) 818-9167,,https://inquipco.com/contact/,36.2093295,-115.0619148,412.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=347085,https://www.google.com/search?q=INQUIPCO+trucking+California+address+phone,INQUIPCO
1,3,Lassen Forest Products Inc.,29914,472923,TB,1,2025-01-11,22829 Casale Road,Red Bluff,CA,96080,,,,40.1303152,-122.187052,160.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=29914,https://www.google.com/search?q=Lassen+Forest+Products+Inc.+trucking+California+address+phone,Lassen Forest Products Inc.
1,4,WENDT CONSTRUCTION CO INC,50465,1657120,TB,1,2025-01-30,1660 Newburg Road,Fortuna,CA,95540,,,,40.5882062,-124.1489253,217,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=50465,https://www.google.com/search?q=WENDT+CONSTRUCTION+CO+INC+trucking+California+address+phone,WENDT CONSTRUCTION CO INC
1,5,"Mendocino Forest Products Company, LLC",599472,763868,TB,1,2025-01-07,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=599472,https://www.google.com/search?q=Mendocino+Forest+Products+Company+LLC+trucking+California+address+phone,Mendocino Forest Products Company LLC
1,6,Yandell Truckaway Inc.,18445,30503,TB,1,2025-01-13,3474 Buskirk Avenue,Pleasant Hill,CA,94523,,,,37.9389599,-122.058698,14.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=18445,https://www.google.com/search?q=Yandell+Truckaway+Inc.+trucking+California+address+phone,Yandell Truckaway Inc.
1,7,"Sundance Stage Lines, Inc",184090,,TB,1,2025-01-08,3762 Main Street,San Diego,CA,92113,,,,32.684498,-117.1125501,458,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=184090,https://www.google.com/search?q=Sundance+Stage+Lines+Inc+trucking+California+address+phone,Sundance Stage Lines Inc
1,8,"Steve Wills Trucking & Logging, LLC.",256813,1444560,TB,1,2024-12-26,1576 California 36,Fortuna,CA,95540,,,,40.545021,-124.1173782,213.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=256813,https://www.google.com/search?q=Steve+Wills+Trucking+&+Logging+LLC.+trucking+California+address+phone,Steve Wills Trucking & Logging LLC.
1,9,"Apex Fence Co., Inc.",51968,549939,TB,1,2025-01-31,19896 Alexander Avenue,Anderson,CA,96007,,,,40.4608838,-122.3149307,183.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=51968,https://www.google.com/search?q=Apex+Fence+Co.+Inc.+trucking+California+address+phone,Apex Fence Co. Inc.
1,10,Timberland Logging,199331,253030,TB,1,2025-01-03,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=199331,https://www.google.com/search?q=Timberland+Logging+trucking+California+address+phone,Timberland Logging
2,11,"Siskiyou Transportation, Inc.",39920,17189,TB,1,2025-01-23,Siskiyou County,,CA,,,,,41.7743261,-122.5770126,274.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=39920,https://www.google.com/search?q=Siskiyou+Transportation+Inc.+trucking+California+address+phone,Siskiyou Transportation Inc.
2,12,Rockview Farms,48850,776013,TB,1,2025-01-16,2350 West Whittier Boulevard,La Habra,CA,90631,,,,33.9395216,-117.9725783,359.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=48850,https://www.google.com/search?q=Rockview+Farms+trucking+California+address+phone,Rockview Farms
2,13,Crane Mills Truck Shop,40859,716497,TB,1,2025-01-02,22938 South Avenue,Corning,CA,96021,,,,39.9064554,-122.1810752,145.3,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=40859,https://www.google.com/search?q=Crane+Mills+Truck+Shop+trucking+California+address+phone,Crane Mills Truck Shop
2,14,"Superior Cattle Feeders, LLC",1248591,216358,TB,1,2025-01-31,6050 California 111,Calipatria,CA,92233,,,,33.093041,-115.512307,500.5,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1248591,https://www.google.com/search?q=Superior+Cattle+Feeders+LLC+trucking+California+address+phone,Superior Cattle Feeders LLC
2,15,"Redwood Empire Vineyard Management, Inc.",1181138,54112,TB,1,2025-01-29,22000 Geyserville Avenue,Geyserville,CA,95441,,,,38.7228876,-122.925474,72.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1181138,https://www.google.com/search?q=Redwood+Empire+Vineyard+Management+Inc.+trucking+California+address+phone,Redwood Empire Vineyard Management Inc.
2,16,"Sunview Vineyards of California, Inc.",198624,,TB,1,2025-11-12,3700 Pegasus Drive,Bakersfield,CA,93308,,,,35.4393856,-119.0704167,241.2,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=198624,https://www.google.com/search?q=Sunview+Vineyards+of+California+Inc.+trucking+California+address+phone,Sunview Vineyards of California Inc.
2,17,Fetzer Vineyards,27607,1057195,TB,1,2025-01-17,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=27607,https://www.google.com/search?q=Fetzer+Vineyards+trucking+California+address+phone,Fetzer Vineyards
2,18,Chuck Villar Construction Inc,76205,422575,TB,1,2025-01-06,424 Commerce Circle,Mammoth Lakes,CA,93546,,,,37.6436821,-118.9543334,181.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=76205,https://www.google.com/search?q=Chuck+Villar+Construction+Inc+trucking+California+address+phone,Chuck Villar Construction Inc
2,19,"Chambers Logging Co., Inc.",24903,821580,TB,1,2025-03-19,3219 Hillras Way,Fortuna,CA,95540,,,,40.558741,-124.132585,214.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=24903,https://www.google.com/search?q=Chambers+Logging+Co.+Inc.+trucking+California+address+phone,Chambers Logging Co. Inc.
2,20,Menezes Hay Company,34011,302713,TB,1,2025-01-23,5030 Dwight Way,Livingston,CA,95334,,,,37.3617585,-120.705053,91,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=34011,https://www.google.com/search?q=Menezes+Hay+Company+trucking+California+address+phone,Menezes Hay Company
3,21,American Honey,64616,200204,TB,1,2025-01-06,,,CA,,,,,,,,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=64616,https://www.google.com/search?q=American+Honey+trucking+California+address+phone,American Honey
3,22,"JS JOHAL & SONS, INC.",56357,1933349,TB,1,2025-02-13,5020 Garden Highway,Yuba City,CA,95991,,,,39.055342,-121.612998,93.5,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=56357,https://www.google.com/search?q=JS+JOHAL+&+SONS+INC.+trucking+California+address+phone,JS JOHAL & SONS INC.
3,23,Milanesio Farms Inc,62984,1733845,TB,1,2025-03-04,19725 Road 180,Strathmore,CA,93267,,,,36.1406361,-119.1700344,206.2,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=62984,https://www.google.com/search?q=Milanesio+Farms+Inc+trucking+California+address+phone,Milanesio Farms Inc
3,24,"Bill Nason Trucking, Inc.",942924,14553,TB,1,2025-01-24,4733 West Dinuba Avenue,Fresno,CA,93706,,,,36.5899983,-119.8767468,156.2,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=942924,https://www.google.com/search?q=Bill+Nason+Trucking+Inc.+trucking+California+address+phone,Bill Nason Trucking Inc.
3,25,Moiola Brothers Cattle Feeders LTD,4108276,,TB,1,2025-03-27,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4108276,https://www.google.com/search?q=Moiola+Brothers+Cattle+Feeders+LTD+trucking+California+address+phone,Moiola Brothers Cattle Feeders LTD
3,26,D&J Packing,66598,1583823,TB,1,2025-01-31,1588 Moffett Street,Salinas,CA,93905,,,,36.6597909,-121.6123352,87,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=66598,https://www.google.com/search?q=D&J+Packing+trucking+California+address+phone,D&J Packing
3,27,GLENN K NILMEIER TRUCKING,448753,26163,TB,1,2025-01-29,7373 East North Avenue,Fresno,CA,93725,,,,36.690898,-119.656612,163.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=448753,https://www.google.com/search?q=GLENN+K+NILMEIER+TRUCKING+trucking+California+address+phone,GLENN K NILMEIER TRUCKING
3,28,Material Transport Services,2815,1745562,TB,1,2025-01-16,15505 East Lincoln Avenue,Orange,CA,92865,,,,33.8353699,-117.8613179,369,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2815,https://www.google.com/search?q=Material+Transport+Services+trucking+California+address+phone,Material Transport Services
3,29,Headstart Nursery Inc,814232,,TB,1,2024-12-30,4860 Monterey Road,Gilroy,CA,95020,,,,36.9720633,-121.5526938,69.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=814232,https://www.google.com/search?q=Headstart+Nursery+Inc+trucking+California+address+phone,Headstart Nursery Inc
3,30,Browns Northstate Resources,398433,2352675,TB,1,2025-01-02,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=398433,https://www.google.com/search?q=Browns+Northstate+Resources+trucking+California+address+phone,Browns Northstate Resources
4,31,barnes ranch inc,701291,254468,TB,1,2025-01-20,Unnamed Road,Covelo,CA,95428,,,,39.706205,-123.0371775,137.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=701291,https://www.google.com/search?q=barnes+ranch+inc+trucking+California+address+phone,barnes ranch inc
4,32,Dart International,1780,164701,TB,1,2025-01-24,1990 Pomona Road,Corona,CA,92878,,,,33.8817455,-117.606493,376.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1780,https://www.google.com/search?q=Dart+International+trucking+California+address+phone,Dart International
4,33,SterlingPacific Meat Company,214000,559423,TB,1,2025-01-02,6114 Scott Way,Commerce,CA,90040,,,,33.979322,-118.149622,350.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=214000,https://www.google.com/search?q=SterlingPacific+Meat+Company+trucking+California+address+phone,SterlingPacific Meat Company
4,34,"Gli-Co Farms, LP",1823649,593189,TB,1,2025-01-06,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1823649,https://www.google.com/search?q=Gli-Co+Farms+LP+trucking+California+address+phone,Gli-Co Farms LP
4,35,Flyin A Ranch,235751,1663258,TB,1,2025-11-11,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=235751,https://www.google.com/search?q=Flyin+A+Ranch+trucking+California+address+phone,Flyin A Ranch
4,36,Rick Lawley Trucking,8932,1754373,TB,1,2025-01-06,600 Tower Road,American Canyon,CA,94503,,,,38.2128638,-122.2675488,28.2,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=8932,https://www.google.com/search?q=Rick+Lawley+Trucking+trucking+California+address+phone,Rick Lawley Trucking
4,37,"J.S. Helwig & Son, LLC",185183,,TB,1,2025-06-18,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=185183,https://www.google.com/search?q=J.S.+Helwig+&+Son+LLC+trucking+California+address+phone,J.S. Helwig & Son LLC
4,38,Gileno Distribution Services,279660,309992,TB,1,2025-05-28,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=279660,https://www.google.com/search?q=Gileno+Distribution+Services+trucking+California+address+phone,Gileno Distribution Services
