Batch,Lead_ID,Company_Name,USDOT,CA_Number,Violation,Priority,Last_CARB_Check,Address,City,State,Zip,Phone,Email,Website,Lat,Lng,Distance_mi,Status,Last_Contact,Notes,SAFER_URL,Google_Search,,,
2,14,"Superior Cattle Feeders, LLC",1248591,216358,TB,1,2025-01-31,6050 California 111,Calipatria,CA,92233,,rcosta@headstartnursery.com,headstartnursery.com,33.093041,-115.512307,500.5,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1248591,https://www.google.com/search?q=Superior+Cattle+Feeders+LLC+trucking+California+address+phone,Superior Cattle Feeders LLC,,
1,7,"Sundance Stage Lines, Inc",184090,,TB,1,2025-01-08,3762 Main Street,San Diego,CA,92113,,sales@apexfenceok.com,apexfenceok.com,32.684498,-117.1125501,458,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=184090,https://www.google.com/search?q=Sundance+Stage+Lines+Inc+trucking+California+address+phone,Sundance Stage Lines Inc,,
10,93,Premier Color Nursery,520621,559803,TB,1,2025-01-07,1244 Winter Haven Road,Fallbrook,CA,92028,,,,33.3506507,-117.2318649,418.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=520621,https://www.google.com/search?q=Premier+Color+Nursery+trucking+California+address+phone,Premier Color Nursery,,
1,2,INQUIPCO,347085,,TB,1,2025-01-29,2730 North Nellis Boulevard,Las Vegas,CA,89115,(949) 818-9167,jerry@inquipco.com,inquipco.com,36.2093295,-115.0619148,412.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=347085,https://www.google.com/search?q=INQUIPCO+trucking+California+address+phone,INQUIPCO,,
4,32,Dart International,1780,164701,TB,1,2025-01-24,1990 Pomona Road,Corona,CA,92878,,dave@elderenterprises.com,elderenterprises.com,33.8817455,-117.606493,376.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1780,https://www.google.com/search?q=Dart+International+trucking+California+address+phone,Dart International,,
7,61,Hay Connection,864392,188522,TB,1,2025-01-02,1152 Sixth Street,Norco,CA,92860,,,,33.9379102,-117.5465595,375.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=864392,https://www.google.com/search?q=Hay+Connection+trucking+California+address+phone,Hay Connection,,
6,55,"Roadrunner Transportation Services, Inc",7116,242009,TB,1,2025-01-07,11385 Venture Drive,Jurupa Valley,CA,91752,,,,34.0306728,-117.5321567,371.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=7116,https://www.google.com/search?q=Roadrunner+Transportation+Services+Inc+trucking+California+address+phone,Roadrunner Transportation Services Inc,,
3,28,Material Transport Services,2815,1745562,TB,1,2025-01-16,15505 East Lincoln Avenue,Orange,CA,92865,,callen@alanritchey.com,alanritchey.com,33.8353699,-117.8613179,369,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2815,https://www.google.com/search?q=Material+Transport+Services+trucking+California+address+phone,Material Transport Services,,
2,12,Rockview Farms,48850,776013,TB,1,2025-01-16,2350 West Whittier Boulevard,La Habra,CA,90631,,kam@kamjohal.com,kamjohal.com,33.9395216,-117.9725783,359.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=48850,https://www.google.com/search?q=Rockview+Farms+trucking+California+address+phone,Rockview Farms,,
4,33,SterlingPacific Meat Company,214000,559423,TB,1,2025-01-02,6114 Scott Way,Commerce,CA,90040,,jeffa@arnoldbros.com,arnoldbros.com,33.979322,-118.149622,350.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=214000,https://www.google.com/search?q=SterlingPacific+Meat+Company+trucking+California+address+phone,SterlingPacific Meat Company,,
8,77,KYLE & KYLE RANCHES INC,2613495,214529,TB,1,2025-03-20,12345 East Avenue J,Lancaster,CA,93535,,,,34.690609,-117.908418,324.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2613495,https://www.google.com/search?q=KYLE+&+KYLE+RANCHES+INC+trucking+California+address+phone,KYLE & KYLE RANCHES INC,,
2,11,"Siskiyou Transportation, Inc.",39920,17189,TB,1,2025-01-23,Siskiyou County,,CA,,,chuck@chuckmillerconstruction.com,chuckmillerconstruction.com,41.7743261,-122.5770126,274.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=39920,https://www.google.com/search?q=Siskiyou+Transportation+Inc.+trucking+California+address+phone,Siskiyou Transportation Inc.,,
2,16,"Sunview Vineyards of California, Inc.",198624,,TB,1,2025-11-12,3700 Pegasus Drive,Bakersfield,CA,93308,,matt@flyinwrench.com,flyinwrench.com,35.4393856,-119.0704167,241.2,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=198624,https://www.google.com/search?q=Sunview+Vineyards+of+California+Inc.+trucking+California+address+phone,Sunview Vineyards of California Inc.,,
10,92,Jim*s Honey Farm LLC,834667,,TB,1,2025-06-10,7701 Jenica Street,Bakersfield,CA,93314,,,,35.4296641,-119.1399442,238.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=834667,https://www.google.com/search?q=Jim*s+Honey+Farm+LLC+trucking+California+address+phone,Jim*s Honey Farm LLC,,
8,72,GREENFIELD TRUCKING,22417,50014,TB,1,2025-01-13,12695 Golden State,McFarland,CA,93250,,,,35.6896623,-119.230671,222.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=22417,https://www.google.com/search?q=GREENFIELD+TRUCKING+trucking+California+address+phone,GREENFIELD TRUCKING,,
10,94,"Burney Transportation, Inc.",284825,,TB,1,2025-01-13,21703 North Cottonwood Street,Burney,CA,96013,,,,40.9211879,-121.6311275,218.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=284825,https://www.google.com/search?q=Burney+Transportation+Inc.+trucking+California+address+phone,Burney Transportation Inc.,,
1,4,WENDT CONSTRUCTION CO INC,50465,1657120,TB,1,2025-01-30,1660 Newburg Road,Fortuna,CA,95540,,info@ando-home.co.jp,ando-home.co.jp,40.5882062,-124.1489253,217,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=50465,https://www.google.com/search?q=WENDT+CONSTRUCTION+CO+INC+trucking+California+address+phone,WENDT CONSTRUCTION CO INC,,
2,19,"Chambers Logging Co., Inc.",24903,821580,TB,1,2025-03-19,3219 Hillras Way,Fortuna,CA,95540,,hezuo@ltd.com,ltd.com,40.558741,-124.132585,214.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=24903,https://www.google.com/search?q=Chambers+Logging+Co.+Inc.+trucking+California+address+phone,Chambers Logging Co. Inc.,,
1,8,"Steve Wills Trucking & Logging, LLC.",256813,1444560,TB,1,2024-12-26,1576 California 36,Fortuna,CA,95540,,swillstruck@aol.com,https://stevewillstrucking.com/contact-us,40.545021,-124.1173782,213.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=256813,https://www.google.com/search?q=Steve+Wills+Trucking+&+Logging+LLC.+trucking+California+address+phone,Steve Wills Trucking & Logging LLC.,,swillstruck@aol.com
