zip,lat,lng,mi_sac,mi_oak,mi_nearest
93450,36.08542,-120.81852,176.4,143.3,143.3
93517,38.28111,-119.38445,116.1,160.5,116.1
93529,37.81551,-119.09565,140.6,173.3,140.6
93541,37.98807,-119.11439,135.4,172.6,135.4
93601,37.39347,-119.74104,125.9,141.4,125.9
93604,37.34415,-119.42214,141.6,159.2,141.6
93606,36.80320,-120.01856,147.0,141.8,141.8
93608,36.49248,-120.35553,157.3,139.1,139.1
93610,37.09830,-120.28121,122.0,119.6,119.6
93614,37.20982,-119.74980,134.3,144.2,134.3
93620,37.02004,-120.62540,117.9,105.3,105.3
93622,36.81450,-120.57524,132.0,115.6,115.6
93623,37.49488,-119.64428,125.6,145.3,125.6
93626,37.04329,-119.69131,144.9,151.0,144.9
93630,36.72725,-120.12343,148.5,139.6,139.6
93635,37.06807,-120.84358,110.4,93.4,93.4
93636,36.98488,-119.87391,141.4,143.3,141.4
93637,36.91808,-120.18593,135.4,129.9,129.9
93638,37.04343,-120.03369,132.9,133.6,132.9
93640,36.67268,-120.44652,143.8,127.2,127.2
93643,37.22470,-119.47074,144.8,158.6,144.8
93644,37.37779,-119.63238,131.2,147.4,131.2
93645,37.18236,-119.64145,139.8,150.4,139.8
93653,37.24833,-119.94494,125.0,133.1,125.0
93660,36.58545,-120.17390,155.7,142.9,142.9
93665,36.96011,-120.64806,121.2,106.5,106.5
93668,36.65028,-120.28409,149.0,135.3,135.3
93669,37.29056,-119.54841,138.6,153.3,138.6
93711,36.83429,-119.83335,151.1,149.8,149.8
93722,36.79936,-119.87479,151.7,148.9,148.9
93723,36.79348,-119.95682,149.4,145.1,145.1
93901,36.63634,-121.62398,134.6,88.2,88.2
93905,36.68235,-121.60590,131.4,85.7,85.7
93906,36.72271,-121.63365,128.7,82.6,82.6
93907,36.76939,-121.66753,125.6,78.8,78.8
93908,36.65174,-121.59944,133.5,87.8,87.8
93920,36.09298,-121.54983,172.0,124.8,124.8
93921,36.55318,-121.92396,142.1,88.5,88.5
93923,36.44867,-121.84950,148.7,96.5,96.5
93924,36.41560,-121.63765,149.9,102.1,102.1
93925,36.58800,-121.39891,137.8,96.8,96.8
93926,36.52587,-121.39674,142.1,100.6,100.6
93927,36.24880,-121.38663,161.3,118.0,118.0
93928,36.03887,-121.24401,176.2,134.5,134.5
93930,36.20506,-121.01036,166.3,130.6,130.6
93932,35.98979,-121.05593,180.7,142.2,142.2
93933,36.68684,-121.78689,131.9,81.7,81.7
93940,36.57469,-121.84085,140.0,88.2,88.2
93943,36.59700,-121.87414,138.7,86.2,86.2
93950,36.62118,-121.92518,137.5,83.9,83.9
93953,36.58522,-121.94528,140.1,86.1,86.1
93954,36.13336,-120.92851,172.0,137.2,137.2
93955,36.61441,-121.78690,136.9,86.4,86.4
93960,36.38962,-121.34315,151.7,110.3,110.3
93962,36.62472,-121.64649,135.5,88.5,88.5
94002,37.51435,-122.29890,85.8,20.1,20.1
94005,37.68883,-122.40893,79.2,11.0,11.0
94010,37.57028,-122.36578,84.4,17.0,17.0
94014,37.69088,-122.44744,80.4,12.4,12.4
94015,37.68126,-122.48059,82.1,14.3,14.3
94019,37.46945,-122.41184,91.6,24.4,24.4
94020,37.27461,-122.23242,98.9,36.7,36.7
94021,37.27084,-122.28074,100.2,36.9,36.9
94022,37.35749,-122.14444,91.7,31.6,31.6
94024,37.35223,-122.09440,91.0,32.7,32.7
94025,37.45752,-122.17654,86.1,24.5,24.5
94027,37.45351,-122.20476,87.0,24.5,24.5
94028,37.37683,-122.20980,91.9,29.7,29.7
94030,37.59897,-122.40199,83.9,15.9,15.9
94037,37.55430,-122.49663,89.5,21.2,21.2
94038,37.52690,-122.51216,91.5,23.3,23.3
94040,37.38057,-122.08529,89.0,31.0,31.0
94041,37.38852,-122.07573,88.3,30.7,30.7
94043,37.41403,-122.07068,86.6,29.1,29.1
94044,37.60663,-122.47721,86.0,17.7,17.7
94060,37.24714,-122.27349,101.5,38.5,38.5
94061,37.46115,-122.23695,87.3,23.8,23.8
94062,37.41369,-122.29534,91.7,27.0,27.0
94063,37.49330,-122.19554,84.3,21.9,21.9
94065,37.53411,-122.24737,83.2,18.7,18.7
94066,37.62509,-122.43359,83.5,15.2,15.2
94070,37.49647,-122.27257,86.1,21.3,21.3
94074,37.33171,-122.34147,97.9,32.9,32.9
94080,37.65549,-122.42208,81.5,13.2,13.2
94085,37.38856,-122.01773,87.2,31.9,31.9
94086,37.37165,-122.02313,88.4,32.8,32.8
94087,37.35153,-122.03696,90.0,33.8,33.8
94089,37.41240,-122.01560,85.6,30.5,30.5
94102,37.77959,-122.41932,74.8,8.3,8.3
94103,37.77313,-122.41117,74.8,7.9,7.9
94104,37.79141,-122.40213,73.6,7.2,7.2
94105,37.78986,-122.39366,73.3,6.8,6.8
94107,37.76046,-122.39972,75.1,7.6,7.6
94108,37.79201,-122.40857,73.8,7.5,7.5
94109,37.79539,-122.42245,74.1,8.3,8.3
94110,37.75002,-122.41520,76.2,8.7,8.7
94111,37.79937,-122.39841,73.0,7.0,7.0
94112,37.72037,-122.44295,78.7,11.0,11.0
94114,37.75806,-122.43541,76.5,9.5,9.5
94115,37.78597,-122.43725,75.1,9.2,9.2
94116,37.74540,-122.48606,79.0,12.4,12.4
94117,37.76944,-122.44766,76.4,9.9,9.9
94118,37.78010,-122.46260,76.4,10.6,10.6
94121,37.77677,-122.49471,77.7,12.4,12.4
94122,37.75880,-122.48513,78.3,12.1,12.1
94123,37.80093,-122.43837,74.4,9.1,9.1
94124,37.72890,-122.38278,76.2,8.0,8.0
94127,37.73622,-122.45934,78.5,11.3,11.3
94128,37.62641,-122.38576,81.9,13.8,13.8
94129,37.79734,-122.46446,75.6,10.6,10.6
94130,37.82066,-122.36965,70.9,5.5,5.5
94131,37.74592,-122.44147,77.3,10.1,10.1
94132,37.72222,-122.48408,80.1,12.9,12.9
94133,37.80453,-122.41085,73.2,7.6,7.6
94134,37.72105,-122.41357,77.6,9.7,9.7
94158,37.76811,-122.38693,74.2,6.8,6.8
94301,37.44412,-122.14991,86.3,25.8,25.8
94303,37.45788,-122.11516,84.7,25.4,25.4
94304,37.37471,-122.18170,91.4,30.1,30.1
94305,37.41826,-122.17087,88.4,27.2,27.2
94306,37.41573,-122.13076,87.7,27.9,27.9
94401,37.57695,-122.31690,82.6,15.9,15.9
94402,37.52360,-122.34492,86.5,19.8,19.8
94403,37.53845,-122.30545,84.5,18.5,18.5
94404,37.55600,-122.26768,82.4,17.2,17.2
94501,37.77379,-122.27811,70.2,2.1,2.1
94502,37.73757,-122.24551,71.2,4.8,4.8
94503,38.18653,-122.26407,49.8,26.4,26.4
94505,37.87168,-121.59707,49.4,37.1,37.1
94506,37.80968,-121.91314,58.0,19.5,19.5
94507,37.85041,-122.02112,58.1,14.0,14.0
94508,38.57662,-122.44439,51.3,54.2,51.3
94509,37.99650,-121.81230,43.9,28.3,28.3
94510,38.09807,-122.13594,48.2,21.6,21.6
94511,38.02894,-121.64052,39.0,37.7,37.7
94512,38.13485,-121.83416,35.9,33.0,33.0
94513,37.92223,-121.66836,46.5,33.9,33.9
94514,37.82637,-121.62255,52.6,35.4,35.4
94515,38.63482,-122.61505,60.6,60.3,60.3
94516,37.83390,-122.16503,63.2,6.1,6.1
94517,37.89022,-121.87835,52.1,22.2,22.2
94518,37.95036,-122.02204,52.2,16.9,16.9
94519,37.98845,-122.01300,49.7,19.0,19.0
94520,37.99529,-122.04063,50.2,18.2,18.2
94521,37.95601,-121.95619,50.0,20.1,20.1
94523,37.95413,-122.07614,53.6,14.8,14.8
94525,38.05295,-122.23209,54.2,17.3,17.3
94526,37.81461,-121.99055,59.4,15.3,15.3
94528,37.84560,-121.95061,56.6,17.7,17.7
94530,37.92156,-122.29834,63.1,8.2,8.2
94531,37.96576,-121.77582,45.2,29.2,29.2
94533,38.28075,-122.00638,34.6,35.9,34.6
94534,38.24484,-122.13586,41.8,31.3,31.3
94535,38.28222,-121.92472,31.2,38.0,31.2
94536,37.57051,-121.98125,74.7,22.6,22.6
94538,37.50137,-121.95675,78.8,27.1,27.1
94539,37.51691,-121.91176,77.0,27.9,27.9
94541,37.67395,-122.08482,70.4,13.6,13.6
94542,37.65988,-122.03714,70.2,16.2,16.2
94544,37.63382,-122.05720,72.3,16.6,16.6
94545,37.60590,-122.12687,75.7,15.8,15.8
94546,37.71451,-122.07954,67.8,12.2,12.2
94547,38.01017,-122.26173,57.4,14.2,14.2
94548,37.97429,-121.65144,42.8,35.8,35.8
94549,37.89701,-122.11429,58.0,10.7,10.7
94550,37.51999,-121.57560,73.5,42.8,42.8
94551,37.75050,-121.74905,59.1,28.8,28.8
94552,37.72272,-122.02155,65.9,14.8,14.8
